,auc_roc,auc_pr,log_loss,brier,ece,accuracy,precision,recall,f1
simple_logistic,0.8041289757805662,0.9635540522812513,0.32568807542980865,0.10077491400372002,0.0485517677101468,0.8691860465116279,0.8688046647230321,1.0,0.9297971918876755
ridge_logistic,0.7941348117887365,0.9587860906983361,0.4622809693476887,0.14044640442793224,0.18965063791518405,0.8691860465116279,0.8688046647230321,1.0,0.9297971918876755
random_forest,0.7523708783192297,0.9518863997508066,0.34818645644819923,0.10537444821077077,0.03532246920468389,0.8633720930232558,0.8658892128279884,0.9966442953020134,0.9266770670826833
xgboost,0.75510650714911,0.9525812804727591,0.3738547622038785,0.10745685215574491,0.06480262025670953,0.8691860465116279,0.8753709198813057,0.9899328859060402,0.9291338582677166
catboost,0.746936095710534,0.9478342741856035,0.5355308116469927,0.12208177951306433,0.1040685277626772,0.8575581395348837,0.8716417910447761,0.9798657718120806,0.9225908372827805
